               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.052053,            0.018305,                   0,             0.54995,                0.95,             0.66056,             0.29764,            0.036303,           0.0087812,                   0,            0.030121,           0.0071207,           0.0071207
                  39,            0.055054,            0.019556,                   0,             0.50715,                0.85,             0.65596,             0.26063,            0.035295,           0.0086881,                   0,             0.02829,             0.00729,             0.00729
                  40,            0.045842,            0.019771,                   0,             0.57501,             0.81211,             0.72833,             0.44411,            0.030765,           0.0084214,                   0,            0.026458,           0.0074585,           0.0074585
                  41,            0.046138,            0.020365,                   0,             0.67663,                0.95,             0.79629,             0.38073,             0.03225,           0.0082809,                   0,            0.024626,           0.0076262,           0.0076262
                  42,            0.052247,            0.017394,                   0,             0.56613,                 0.8,             0.68945,             0.35379,            0.031362,           0.0081348,                   0,            0.022793,           0.0077931,           0.0077931
                  43,            0.054183,             0.02249,                   0,             0.61002,             0.86062,             0.82249,             0.39156,            0.032844,           0.0082155,                   0,            0.020959,           0.0079593,           0.0079593
                  44,            0.049477,            0.019178,                   0,             0.85536,             0.88752,             0.87761,              0.5317,            0.028657,           0.0079046,                   0,            0.019125,           0.0081246,           0.0081246
                  45,            0.042602,            0.018404,                   0,             0.58302,                 0.9,             0.75976,             0.46592,            0.034011,            0.008492,                   0,            0.017289,           0.0082892,           0.0082892
                  46,            0.055428,            0.019159,                   0,             0.60783,                 0.9,             0.80259,             0.36976,            0.033538,            0.008709,                   0,            0.015453,            0.008453,            0.008453
                  47,            0.056689,            0.021045,                   0,             0.49967,             0.89884,             0.63515,             0.30902,            0.032192,           0.0081806,                   0,            0.013616,           0.0086159,           0.0086159
                  48,            0.055192,            0.021037,                   0,             0.58235,             0.83694,             0.77724,             0.46549,            0.026918,           0.0077872,                   0,            0.011778,           0.0087781,           0.0087781
                  49,            0.041578,            0.020246,                   0,             0.59925,                0.95,             0.83584,             0.48329,            0.030845,           0.0083358,                   0,           0.0099395,           0.0089395,           0.0089395
                  50,             0.04266,            0.016784,                   0,             0.75649,                 0.8,             0.91295,             0.59444,            0.025044,            0.007909,                   0,             0.00901,             0.00901,             0.00901
                  51,            0.051529,             0.01473,                   0,              0.4809,                0.75,             0.65856,             0.34708,            0.039122,           0.0089174,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.050834,            0.018992,                   0,             0.82036,                 0.8,             0.91122,             0.52673,            0.025669,           0.0071854,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.037846,             0.01675,                   0,             0.74807,             0.89113,             0.89754,             0.60106,             0.02363,            0.007137,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,             0.04522,            0.016496,                   0,             0.57063,                0.85,             0.71406,              0.3668,            0.033281,           0.0076097,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.049683,            0.017815,                   0,             0.79942,              0.9965,             0.89688,             0.57144,            0.024418,           0.0066635,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,             0.03739,            0.015669,                   0,               0.595,                0.95,             0.73502,             0.41728,            0.025201,           0.0067746,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.037249,            0.018467,                   0,               0.739,                   1,             0.90125,             0.42883,            0.025308,            0.007308,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.040041,            0.018098,                   0,               0.817,             0.89319,             0.92481,             0.54763,            0.025548,           0.0068398,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.040678,            0.013443,                   0,             0.68487,                0.85,             0.79085,             0.39414,            0.026892,           0.0080173,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.039997,            0.013577,                   0,             0.77352,                   1,             0.91487,             0.51529,            0.025522,           0.0072498,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.038149,            0.018583,                   0,             0.77643,             0.86871,               0.965,             0.54966,            0.022597,           0.0071631,                   0,            0.008812,            0.008812,            0.008812
                  62,             0.03376,            0.015712,                   0,             0.74956,                   1,             0.89568,             0.57022,             0.02052,           0.0066788,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.036833,            0.017738,                   0,             0.85395,                   1,             0.98348,             0.50828,            0.025344,           0.0068839,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.038925,            0.016594,                   0,              0.7173,                   1,             0.85581,               0.537,            0.023292,           0.0065154,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.035496,             0.01338,                   0,             0.89948,                   1,             0.98545,             0.57254,            0.021158,           0.0063367,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.035903,            0.013618,                   0,             0.95179,             0.98756,             0.99262,             0.59644,            0.022073,           0.0062527,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.037412,            0.018173,                   0,             0.99671,                   1,               0.995,             0.63906,            0.019059,            0.006319,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.033155,            0.010458,                   0,             0.79259,                   1,             0.89848,             0.61963,            0.021252,           0.0061692,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.027581,            0.016419,                   0,             0.79439,                   1,             0.90881,             0.49259,             0.02251,           0.0059917,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.036566,            0.011849,                   0,             0.89588,                   1,              0.9569,             0.65936,            0.017394,           0.0056598,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,             0.03104,            0.016824,                   0,             0.87506,                   1,             0.97388,             0.67018,            0.018819,           0.0054169,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.033334,            0.012845,                   0,             0.83694,                   1,             0.97859,             0.63369,            0.017744,           0.0053019,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.031718,            0.015021,                   0,             0.99456,                   1,               0.995,             0.63563,            0.017818,            0.005443,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.036325,            0.016778,                   0,             0.83307,                   1,             0.97859,             0.67757,             0.01662,           0.0052679,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.029631,            0.011505,                   0,             0.97919,                   1,               0.995,             0.67898,            0.017654,           0.0056027,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.027786,            0.013754,                   0,             0.86388,                   1,             0.97357,             0.72008,            0.017235,           0.0057794,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.031118,            0.016544,                   0,             0.94763,                   1,               0.995,             0.63644,             0.01989,            0.005995,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.030113,            0.012711,                   0,             0.99208,                   1,               0.995,             0.72994,            0.016295,           0.0055415,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.027293,            0.012586,                   0,             0.99128,                   1,               0.995,             0.65668,            0.016517,           0.0055965,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.030336,            0.013381,                   0,             0.99665,                   1,               0.995,             0.69447,            0.015001,           0.0055753,                   0,           0.0084358,           0.0084358,           0.0084358
